offer_price,rating,mrp,isBestSeller,accessories,clothing,electronics,misc,musical_instrument
26.95,4.3,32.3,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
29.0,3.9,34.8,0,0,0,1,0,0
19.99,4.6,27.9,0,0,0,1,0,0
99.9,4.1,129.8,0,0,0,1,0,0
35.99,4.4,43.1,0,0,0,1,0,0
109.99,3.9,148.4,0,0,0,1,0,0
31.69,4.4,38.0,0,0,0,1,0,0
129.99,5.0,175.4,1,0,0,1,0,0
129.0,4.0,174.1,0,0,0,1,0,0
86.69,4.4,112.6,0,0,0,1,0,0
55.99,4.3,67.1,0,0,0,1,0,0
14.99,4.3,20.9,0,0,0,1,0,0
19.99,4.6,27.9,0,0,0,1,0,0
19.99,4.8,27.9,0,0,0,1,0,0
85.0,4.7,110.5,1,0,0,1,0,0
13.53,4.6,18.9,0,0,0,1,0,0
89.98,4.6,116.9,1,0,0,1,0,0
29.99,4.0,35.9,0,0,0,1,0,0
74.49,4.6,96.8,1,0,0,1,0,0
16.0,4.0,22.4,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
25.99,4.5,31.1,0,0,0,1,0,0
7.99,4.6,9.9,0,0,0,1,0,0
69.99,4.5,90.9,1,0,0,1,0,0
349.95,4.2,472.4,0,0,0,1,0,0
329.95,4.0,445.4,0,0,0,1,0,0
41.29,3.9,49.5,0,0,0,1,0,0
29.0,3.7,34.8,0,0,0,1,0,0
20.94,4.3,29.3,0,0,0,1,0,0
40.49,4.3,48.5,0,0,0,1,0,0
29.0,4.8,34.8,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
189.98,4.2,256.4,0,0,0,1,0,0
29.99,5.0,35.9,0,0,0,1,0,0
69.99,4.4,90.9,0,0,0,1,0,0
39.99,3.4,47.9,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
25.99,4.2,31.1,0,0,0,1,0,0
28.04,4.6,33.6,0,0,0,1,0,0
39.99,4.2,47.9,0,0,0,1,0,0
89.98,4.3,116.9,0,0,0,1,0,0
29.98,4.3,35.9,0,0,0,1,0,0
29.99,3.4,35.9,0,0,0,1,0,0
15.99,4.1,22.3,0,0,0,1,0,0
18.99,4.5,26.5,0,0,0,1,0,0
199.95,4.0,269.9,0,0,0,0,1,0
28.73,4.0,34.4,0,0,0,1,0,0
29.0,3.1,34.8,0,0,0,1,0,0
24.99,3.8,34.9,0,0,0,1,0,0
179.99,4.3,242.9,0,0,0,1,0,0
79.99,4.3,103.9,0,0,0,1,0,0
19.99,4.8,27.9,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
39.99,4.8,47.9,0,0,0,1,0,0
24.99,4.1,34.9,0,0,0,1,0,0
14.99,4.1,20.9,0,0,0,1,0,0
28.99,3.9,34.7,0,0,0,1,0,0
229.95,4.2,310.4,0,0,0,1,0,0
75.99,4.5,98.7,1,0,0,1,0,0
87.99,4.4,114.3,0,0,0,1,0,0
29.0,4.2,34.8,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,0,1,0
29.0,4.3,34.8,0,0,0,0,1,0
29.37,4.3,35.2,0,0,0,1,0,0
33.88,4.3,40.6,0,0,0,1,0,0
54.99,4.0,65.9,0,0,0,1,0,0
16.62,4.4,23.2,0,0,0,1,0,0
36.99,4.1,44.3,0,0,0,1,0,0
15.99,5.0,22.3,0,0,0,1,0,0
22.97,5.0,32.1,0,0,0,1,0,0
19.99,4.2,27.9,0,0,0,1,0,0
87.88,5.0,114.2,1,0,0,1,0,0
39.99,4.7,47.9,0,0,0,1,0,0
33.99,4.4,40.7,0,0,0,1,0,0
23.99,3.8,33.5,0,0,0,1,0,0
337.0,4.3,454.9,0,0,0,1,0,0
29.99,4.3,35.9,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,0,1,0
16.99,4.4,23.7,0,0,0,1,0,0
23.99,3.3,33.5,0,0,0,1,0,0
18.99,4.3,26.5,0,0,0,1,0,0
28.99,4.0,34.7,0,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
124.95,4.3,168.6,0,0,0,1,0,0
54.99,4.8,65.9,0,0,0,1,0,0
172.49,4.7,232.8,1,0,0,1,0,0
109.8,4.2,148.2,0,0,0,1,0,0
299.99,4.5,404.9,1,0,0,1,0,0
115.99,4.2,156.5,0,0,0,1,0,0
21.99,4.6,30.7,0,0,0,1,0,0
38.99,4.3,46.7,0,0,0,1,0,0
59.99,4.6,71.9,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,1,0,0
27.99,4.6,33.5,0,0,0,1,0,0
29.0,3.8,34.8,0,0,0,1,0,0
50.99,4.2,61.1,0,0,0,1,0,0
49.95,4.3,59.9,0,0,0,1,0,0
19.99,4.0,27.9,0,0,0,1,0,0
123.49,4.6,166.7,1,0,0,1,0,0
31.99,4.4,38.3,0,0,0,1,0,0
69.99,4.5,90.9,1,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
65.99,3.2,85.7,0,0,0,1,0,0
